Time (UTC-04:00),Clicks,Impressions,CTR,Position
2026-08-30T07:00:00,0,3,0%,19.7
2026-08-30T08:00:00,0,7,0%,11.6
2026-08-30T09:00:00,0,4,0%,17.5
2026-08-30T10:00:00,0,7,0%,10.4
2026-08-30T11:00:00,0,12,0%,12.3
2026-08-30T12:00:00,0,2,0%,23.5
2026-08-30T13:00:00,0,2,0%,6.5
2026-08-30T14:00:00,0,1,0%,5
2026-08-30T15:00:00,0,2,0%,3.5
2026-08-30T16:00:00,0,1,0%,2
2026-08-30T17:00:00,0,2,0%,1
2026-08-30T18:00:00,0,0,0%,0
2026-08-30T19:00:00,0,2,0%,4
2026-08-30T20:00:00,0,2,0%,8
2026-08-30T21:00:00,0,0,0%,0
2026-08-30T22:00:00,0,0,0%,0
2026-08-30T23:00:00,0,1,0%,4
2026-08-31T00:00:00,0,0,0%,0
2026-08-31T01:00:00,0,0,0%,0
2026-08-31T02:00:00,0,0,0%,0
2026-08-31T03:00:00,0,2,0%,8
2026-08-31T04:00:00,0,4,0%,26.5
2026-08-31T05:00:00,0,0,0%,0
2026-08-31T06:00:00,0,0,0%,0
